index,prime,log_prime,sqrt_prime,prime_mod_4,prime_mod_6,is_twin_prime
430,2999,8.00603417874901,54.76312628037227,3,5,True
431,3001,8.006700845440367,54.78138369920935,1,1,True
432,3011,8.010027528481734,54.872579673275794,3,5,False
433,3019,8.012680929706839,54.945427471264615,3,1,False
434,3023,8.014004994779459,54.981815175565096,3,5,False
435,3037,8.01862546504575,55.10898293381942,1,1,False
436,3041,8.019941687677365,55.14526271584895,1,5,False
437,3049,8.022568946988255,55.21775076911409,1,1,False
438,3061,8.026496938945412,55.326304774492215,1,1,False
439,3067,8.028455164114252,55.380501984001555,3,1,False
440,3079,8.0323601479245,55.48873759602033,3,1,False
441,3083,8.03365842788615,55.52476924760696,3,5,False
442,3089,8.035602692918582,55.57877292636101,1,5,False
443,3109,8.042056410058754,55.758407437802596,1,1,False
444,3119,8.045267716607803,55.848008021772806,3,5,True
445,3121,8.045908742270779,55.86591089385369,1,1,True
446,3137,8.051022208190679,56.00892785976178,1,5,False
